longitude,latitude
-86.2062,34.2602
-86.2049,34.2622
-86.2201,34.2733
-86.221806,34.2527
-86.1933,34.2898
-86.2218,34.2533
-86.2541,34.5337
-86.142,34.3625
-86.2704,34.4069
-86.321259,34.176234
-86.319462,34.178658
-86.4421,34.3445
-86.253261,34.534948
-86.44683,34.400054
-86.2704,34.4069
-86.2859,34.3054
-86.322507,34.176774
-86.4219,34.3764
-86.2542,34.5343
-86.320895,34.177536
-86.141422,34.362734
-86.8447,33.3409
-86.6585,33.413
-86.8377,33.3444
-86.7322,33.3956
-86.8784,33.3375
-86.854796,33.330923
-86.7288,33.3927
-86.8674,33.3639
-86.8538,33.4096
-86.8088,33.3957
-86.8312,33.3882
-86.8337,33.3879
-86.7668,33.4091
-86.824614,33.426608
-86.8129,33.3596
-86.88919,33.344122
-86.840932,33.337604
-86.80969,33.34668
-86.7137,34.7058
-86.7427,34.7408
-86.7425,34.7192
-86.7505,34.6975
-86.749524,34.709961
-86.7832,34.7211
-86.7331,34.7512
-86.7792,34.7337
-86.766,34.7343
-86.772013,34.701186
-86.791802,34.705886
-86.747416,34.686038
-86.098534,33.43196
-86.089689,33.433574
-86.117477,33.427279
-86.117706,33.42544
-86.590455,34.722432
-86.5481,33.5452
-86.536894,33.54936
-86.574182,33.547574
-86.560964,33.545099
-86.1579,34.2122
-86.1639,34.2118
-86.1755,34.2048
-86.1613,34.2135
-86.1781,34.2065
-86.593651,33.655829
-86.567607,33.649323
-86.590765,33.665684
-86.623626,33.599544
-86.603955,33.629258
-87.077608,32.11162
-86.304436,32.374794
-86.201852,32.361496
-86.201852,32.361496
-86.944188,32.442925
-87.038078,34.619189
-86.803891,33.504855
-86.873858,33.432125
-87.122217,33.22599
-87.48217,33.18708
-87.312122,34.670787
-86.440997,34.579414
-85.661814,32.374834
-87.187669,33.163401
-85.9488,32.9451
-85.9508,32.9377
-85.9307,32.9312
-85.949,32.9555
-85.9726,32.9295
-86.665128,33.48039
-86.665128,33.48039
-86.665128,33.48039
-88.229311,30.794646
-85.725683,33.921026
-85.894875,32.534892
-85.47482,32.613378
-85.428184,32.642141
-88.177804,30.624823
-85.90201,31.42272
-87.617528,31.07607
-86.086728,33.4327
-86.290431,32.38493
-86.827495,33.218566
-85.38462,31.203814
-86.019739,34.072451
-86.4708,31.3154
-86.470935,31.314977
-86.5025,31.2846
-85.82,33.6612
-85.7758,33.6321
-85.8591,33.6656
-85.8086,33.6581
-85.822863,33.708165
-85.822863,33.708165
-85.8417,33.6617
-86.4943,34.3293
-86.4966,34.3349
-86.5105,34.3124
-86.48857,34.329247
-86.9967,34.7934
-86.967922,34.795787
-86.949822,34.812486
-86.949838,34.803346
-86.9934,34.8043
-86.9626,34.7993
-86.9629,34.7819
-86.964919,34.800179
-88.082939,30.704663
-86.332274,33.364683
-86.337457,32.577049
-86.193789,32.564214
-87.184745,33.51396
-86.391816,32.582667
-86.101496,32.387976
-86.333054,32.577164
-86.391869,32.581384
-86.730571,33.548911
-86.730571,33.548911
-88.33722,30.619211
-85.979239,34.071923
-86.1109,33.996
-86.112782,33.995704
-86.126219,33.998734
-87.268202,31.006675
-86.646003,33.58486
-86.02093,34.011773
-88.065367,30.8313
-88.078798,30.810124
-88.100153,30.796015
-88.127677,30.862549
-86.326001,32.353
-86.286837,32.425143
-88.082215,30.761258
-88.078474,30.757103
-88.078474,30.757103
-88.078474,30.757103
-88.0569,30.8471
-88.067,30.8466
-86.838466,33.216548
-86.845962,33.222102
-86.833045,33.220563
-86.808574,33.17642
-86.864943,33.225792
-87.545482,33.208576
-86.261669,32.289712
-88.141573,30.721769
-86.789469,33.309908
-86.78671,33.275334
-86.808097,33.30662
-86.82121,33.312895
-86.028178,32.338392
-86.103225,32.285484
-86.102682,32.355003
-86.102682,32.355003
-88.138607,30.672421
-88.138607,30.672421
-86.31163,32.37078
-88.189067,32.586288
-85.404667,32.638835
-86.872386,33.553991
-87.68018,30.26906
-87.679015,30.269072
-87.675805,30.269146
-86.223619,32.341405
-86.223619,32.341405
-86.763339,33.537508
-86.726303,33.564945
-86.328259,32.352192
-87.335131,32.607571
-85.446081,32.603878
-85.463119,32.596469
-85.4847,32.6209
-85.464089,32.600491
-85.494187,32.617921
-85.472,32.59
-85.469055,32.58567
-85.4566,32.564
-85.5065,32.6404
-85.513374,32.619649
-85.47833,32.633511
-85.476613,32.598241
-85.518203,32.623718
-85.509773,32.659018
-86.829899,33.470676
-86.956911,33.397344
-86.700747,32.663571
-86.481999,32.619027
-86.4555,32.4547
-86.4716,32.5005
-86.4706,32.4849
-86.4516,32.4542
-86.468757,32.463142
-86.463052,32.59009
-86.4222,32.4522
-86.454282,32.455059
-86.473537,32.500629
-86.659977,32.433931
-86.421643,32.448195
-86.4662,32.4574
-86.474055,32.700293
-87.8701,30.6173
-87.706485,30.540413
-87.902029,30.592614
-87.5998,30.4198
-87.6243,30.5673
-87.881755,30.495443
-87.688472,30.407235
-87.622619,31.00521
-87.6863,30.6194
-87.753727,30.543328
-87.904953,30.674955
-87.7902,30.7424
-87.695046,30.488992
-87.728368,30.316295
-87.8836,30.498068
-87.727747,30.582716
-87.557752,30.297043
-87.8478,30.6777
-87.584406,30.412994
-87.7436,30.4198
-87.8569,30.4737
-87.7837,30.8656
-87.6962,30.5495
-87.7747,30.8904
-87.9043,30.613
-87.876402,30.526382
-87.901665,30.5305
-87.690853,30.409549
-87.694176,30.385694
-87.7586,30.6144
-87.7497,30.8654
-87.696915,30.55215
-87.8641,30.6388
-87.8491,30.7901
-87.6893,30.3817
-87.794,30.8937
-87.7807,30.8938
-87.853961,30.71514
-87.8699,30.6141
-87.8541,30.6887
-87.698735,30.552507
-87.899799,30.584492
-87.618274,30.28955
-87.5998,30.4198
-87.829107,30.60316
-87.865147,30.638894
-85.44613,31.868278
-85.461165,31.881958
-85.55456,31.7804
-86.9333,33.3341
-86.941,33.4097
-86.985203,33.368618
-86.999217,33.370885
-86.9587,33.3785
-86.9805,33.3787
-86.9582,33.4023
-86.999217,33.370885
-86.9603,33.4126
-87.1426,32.9472
-87.115079,32.943214
-87.162241,32.942416
-86.9061,32.9012
-87.1254,33.1146
-87.1284,33.1131
-87.136,33.0518
-87.1313,33.1127
-87.1377,33.2098
-86.808778,33.519899
-86.7712,33.5169
-86.7281,33.5599
-86.899272,33.485536
-86.8859,33.4842
-86.6903,33.5805
-86.8132,33.4947
-86.731935,33.536846
-86.8971,33.4707
-86.8519,33.4931
-86.805707,33.556521
-86.6928,33.595
-86.683271,33.611201
-86.780651,33.5639
-86.882528,33.504757
-86.802,33.5412
-86.892235,33.518499
-86.829301,33.514596
-86.860536,33.502928
-86.7141,33.528
-86.7986,33.4976
-86.7193,33.5727
-86.701,33.6104
-86.829686,33.525253
-86.828323,33.496044
-86.881987,33.464299
-86.884829,33.45457
-86.8387,33.5231
-86.7521,33.5422
-86.916764,33.504843
-86.833827,33.505102
-86.825781,33.515779
-86.769366,33.547981
-86.808778,33.519899
-86.8924,33.5427
-86.706,33.5938
-86.828,33.5584
-86.8097,33.4941
-86.758161,33.545906
-86.833827,33.505102
