race,enrollment,year
American Indian or Alaska Native,1039534,2013-01-01
Asian,4796384,2013-01-01
Black,15475688,2013-01-01
Hispanic,25523686,2013-01-01
Native Hawaiian or other Pacific Islander,350434,2013-01-01
Two or more races,2998028,2013-01-01
White,49967302,2013-01-01
