race,enrollment,year
American Indian or Alaska Native,1246682,2008-01-01
Asian,4743026,2008-01-01
Black,16367294,2008-01-01
Hispanic,21756346,2008-01-01
Native Hawaiian or other Pacific Islander,91372,2008-01-01
Two or more races,487444,2008-01-01
White,53269634,2008-01-01
