race,enrollment,year
1,44788976.0,2020-01-01
2,14695206.0,2020-01-01
3,27969094.0,2020-01-01
4,5307918.0,2020-01-01
5,984842.0,2020-01-01
6,419526.0,2020-01-01
7,4398448.0,2020-01-01
