race,enrollment,year
American Indian or Alaska Native,1061164.0,2018-01-01
Asian,5312648.0,2018-01-01
Black,15190942.0,2018-01-01
Hispanic,27852894.0,2018-01-01
Native Hawaiian or other Pacific Islander,434482.0,2018-01-01
Two or more races,4071648.0,2018-01-01
White,47309596.0,2018-01-01
