race,enrollment,year
1,48387286.0,2016-01-01
2,15358586.0,2016-01-01
3,27164946.0,2016-01-01
4,5121694.0,2016-01-01
5,1098382.0,2016-01-01
6,411844.0,2016-01-01
7,3656294.0,2016-01-01
