race,enrollment,year
American Indian or Alaska Native,963584.0,2021-01-01
Asian,5299714.0,2021-01-01
Black,14635934.0,2021-01-01
Hispanic,28330290.0,2021-01-01
Native Hawaiian or other Pacific Islander,412186.0,2021-01-01
Two or more races,4633530.0,2021-01-01
White,44360226.0,2021-01-01
