race,enrollment,year
1,47867020.0,2017-01-01
2,15276206.0,2017-01-01
3,27527004.0,2017-01-01
4,5238816.0,2017-01-01
5,1078212.0,2017-01-01
6,434522.0,2017-01-01
7,3878084.0,2017-01-01
